key_mlbam,name_first,name_last,team,opponent,is_home,dk_slot,game_pk,game_datetime,DK_Points,Ceiling_DK_Points,Boom_Adjusted_DK_Points,Value_Score,Estimated_Salary
668804,Bryan,Reynolds,PIT,LAA,True,OF,823336,2026-09-06T17:35:00Z,7.112862389403014,14.100000000000009,12.028205180316643,2.6729344845148097,4500.0
665833,Oneil,Cruz,PIT,LAA,True,OF,823336,2026-09-06T17:35:00Z,7.032923569594066,16.0,12.050781945749662,2.677951543499925,4500.0
687263,Zach,Neto,LAA,PIT,False,SS,823336,2026-09-06T17:35:00Z,7.028304824752702,16.0,12.505605130119378,2.7790233622487506,4500.0
545361,Mike,Trout,LAA,PIT,False,OF,823336,2026-09-06T17:35:00Z,7.012476016736074,16.0,11.882371598042653,2.640527021787256,4500.0
691023,Jordan,Walker,STL,COL,False,OF,824309,2026-09-06T19:10:00Z,6.993211562414387,18.5,13.159733249812232,2.9243851666249405,4500.0
664040,Brandon,Lowe,PIT,LAA,True,2B,823336,2026-09-06T17:35:00Z,6.915433986463093,16.10000000000001,12.62403660290951,2.869099227933979,4400.0
699013,Esmerlyn,Valdez,PIT,LAA,True,OF,823336,2026-09-06T17:35:00Z,6.902916019405724,17.200000000000003,14.041802458504646,3.1913187405692374,4400.0
691718,Pete,Crow-Armstrong,CHC,MIA,False,OF,823822,2026-09-06T17:40:00Z,6.793670948424559,19.0,13.799710703159713,3.136297887081753,4400.0
695578,James,Wood,WSH,LAD,False,OF,823903,2026-09-07T02:10:00Z,6.742540875191415,18.0,12.356776843457524,2.8083583735130735,4400.0
695600,Carter,Jensen,KC,TOR,True,C,824065,2026-09-06T18:10:00Z,6.7396693359254485,14.0,11.842301003191524,2.6914320461798917,4400.0
669065,Kyle,Stowers,MIA,CHC,True,1B,823822,2026-09-06T17:40:00Z,6.720672556561737,17.0,12.701157827978484,2.886626779086019,4400.0
682829,Elly,De La Cruz,CIN,MIL,True,SS,824469,2026-09-06T16:10:00Z,6.719491650925096,16.10000000000001,11.938168934738744,2.7132202124406235,4400.0
665487,Fernando,Tatís,SD,NYY,True,OF,823253,2026-09-06T20:10:00Z,6.709098734428785,15.0,12.017803406866843,2.7313189561061004,4400.0
666018,Jonathan,Aranda,TB,TEX,False,1B,822848,2026-09-06T18:35:00Z,6.683564413690048,15.0,11.055350226772376,2.5125795969937217,4400.0
624413,Pete,Alonso,BAL,BOS,True,1B,824794,2026-09-06T17:35:00Z,6.681248379571382,17.0,12.21282188026592,2.7756413364240724,4400.0
671732,Lawrence,Butler,ATH,SEA,False,OF,823091,2026-09-06T20:10:00Z,6.665200144414679,12.0,10.683543326611094,2.4280780287752486,4400.0
663728,Cal,Raleigh,SEA,ATH,True,C,823091,2026-09-06T20:10:00Z,6.608086530397586,14.0,11.964806090393653,2.782513044277594,4300.0
680869,Zack,Gelof,ATH,SEA,False,3B,823091,2026-09-06T20:10:00Z,6.6041342916413255,17.0,11.63967911298164,2.706902119298056,4300.0
664983,Jake,McCarthy,COL,STL,True,OF,824309,2026-09-06T19:10:00Z,6.570579988135638,14.0,12.20149407688442,2.837556762066144,4300.0
681198,TJ,Rumfield,COL,STL,True,1B,824309,2026-09-06T19:10:00Z,6.570579988135638,15.0,11.199405899352712,2.604512999849468,4300.0
676475,Alec,Burleson,STL,COL,False,1B,824309,2026-09-06T19:10:00Z,6.567472282373853,16.0,11.952316573509831,2.7796085054674027,4300.0
646240,Rafael,Devers,SF,NYM,False,1B,823578,2026-09-06T17:40:00Z,6.554084109969139,18.0,12.532410297812469,2.914514022747086,4300.0
682987,Spencer,Jones,NYY,SD,False,OF,823253,2026-09-06T20:10:00Z,6.529504326039829,16.0,11.750383156043046,2.7326472455914064,4300.0
687093,Vaughn,Grissom,LAA,PIT,False,2B,823336,2026-09-06T17:35:00Z,6.526911666826931,12.899999999999991,11.627206557602213,2.7040015250237706,4300.0
