key_mlbam,Current_Hit_Streak,last_game_date,name_first,name_last,team
701675,11,2026-09-12,Nathan,Church,STL
664770,10,2026-09-12,Nathan,Lukes,TOR
669127,9,2026-09-12,Shea,Langeliers,ATH
683748,8,2026-09-12,Victor,Mesa,TB
703607,7,2026-09-12,Henry,Bolte,ATH
672640,7,2026-09-12,Otto,Lopez,MIA
804668,7,2026-09-12,Rafael,Flores,PIT
641355,7,2026-09-12,Cody,Bellinger,NYY
664983,7,2026-09-12,Jake,McCarthy,COL
683146,6,2026-09-09,Brett,Baty,NYM
680700,6,2026-09-12,Richie,Palacios,TB
680757,6,2026-09-12,Steven,Kwan,CLE
571970,6,2026-09-12,Max,Muncy,LAD
545341,6,2026-09-12,Randal,Grichuk,CWS
694374,6,2026-09-12,Tim,Tawa,AZ
670623,5,2026-09-12,Isaac,Paredes,HOU
694192,5,2026-09-12,Jackson,Chourio,MIL
686948,5,2026-09-12,Drake,Baldwin,ATL
665019,5,2026-09-12,Kody,Clemens,MIN
671277,5,2026-09-11,Luis,García,NYY
702284,5,2026-09-12,Cole,Young,SEA
702222,5,2026-09-12,Justin,Crawford,PHI
596019,5,2026-09-12,Francisco,Lindor,NYM
663494,5,2026-09-09,Bryan,Torres,STL
687401,4,2026-09-11,Joey,Ortiz,MIL
682657,4,2026-09-12,Angel,Martínez,CLE
677594,4,2026-09-12,Julio,Rodríguez,SEA
687462,4,2026-09-12,Spencer,Horwitz,PIT
677800,4,2026-09-12,Wilyer,Abreu,BOS
596115,4,2026-09-12,Trevor,Story,BOS
514888,4,2026-09-12,José,Altuve,HOU
663538,4,2026-09-12,Nico,Hoerner,CHC
682987,4,2026-09-12,Spencer,Jones,NYY
661388,4,2026-09-12,William,Contreras,MIL
686681,4,2026-09-12,Michael,Massey,KC
691777,4,2026-09-12,Max,Muncy,ATH
691182,4,2026-09-12,Adael,Amador,COL
703520,4,2026-09-12,Brett,Bateman,TOR
678391,4,2026-09-12,Jorbit,Vivas,WSH
669134,4,2026-09-12,Luis,Campusano,SD
695578,3,2026-09-12,James,Wood,WSH
608324,3,2026-09-12,Alex,Bregman,CHC
691723,3,2026-09-12,Coby,Mayo,BAL
595978,3,2026-09-12,Austin,Hedges,CLE
669392,3,2026-09-12,Samad,Taylor,SD
813841,3,2026-09-12,Jonah,Cox,SF
543760,3,2026-09-12,Marcus,Semien,NYM
701350,3,2026-09-12,Roman,Anthony,BOS
