key_mlbam,name_first,name_last,team,opponent,is_home,dk_slot,game_pk,game_datetime,DK_Points,Ceiling_DK_Points,Boom_Adjusted_DK_Points,Value_Score,Estimated_Salary
671277,Luis,García,NYY,COL,True,1B,823500,2026-09-08T23:05:00Z,5.175062517151951,17.0,11.815362634608036,3.109305956475799,3800.0
683953,Travis,Bazzana,CLE,BAL,False,2B,824792,2026-09-08T22:35:00Z,4.879362841368166,13.700000000000005,10.7009154486728,2.8921393104521083,3700.0
608324,Alex,Bregman,CHC,MIL,False,3B,823738,2026-09-08T23:40:00Z,5.791137503822744,15.0,12.305647448579546,3.0764118621448864,4000.0
696100,Hunter,Goodman,COL,NYY,False,C,823500,2026-09-08T23:05:00Z,5.69457122046321,17.799999999999997,13.311225735394045,3.327806433848511,4000.0
699013,Esmerlyn,Valdez,PIT,CWS,False,OF,824551,2026-09-08T23:40:00Z,6.117922434505875,17.0,13.250151179343415,3.15479789984367,4200.0
695491,Joshua,Báez,STL,SF,False,OF,823174,2026-09-09T01:45:00Z,6.097451105267839,14.0,13.78025949173894,3.361038900424132,4100.0
666160,Mickey,Moniak,COL,NYY,False,OF,823500,2026-09-08T23:05:00Z,5.431413327586686,20.0,12.51433059429055,3.2088027164847563,3900.0
672282,Reid,Detmers,LAA,BOS,False,P,824714,2026-09-08T22:45:00Z,18.70789319191804,29.765555555555554,18.70789319191804,2.992480241925953,8700.0
663554,Casey,Mize,SD,WSH,True,P,823250,2026-09-09T01:40:00Z,7.562805934897199,22.757407407407413,7.562805934897199,2.9472806501836883,4700.0
596019,Francisco,Lindor,NYM,MIA,False,SS,823821,2026-09-08T22:40:00Z,6.125918049931368,16.60000000000001,12.333314018119829,2.936503337647578,4200.0
