date,team,opponent,is_home,pitcher_name,Throws,PAVE,PAVE_PLUS,Power_A_PLUS
2026-09-07,PHI,ATL,True,Jesús Luzardo,L,0.18888174750422254,0.7966334081597299,0.776906906999736
2026-09-07,ATL,PHI,False,Grant Holmes,R,0.23386803932427186,0.9863689620002243,0.8624607327551514
2026-09-07,MIA,NYM,True,Eury Pérez,R,0.2170601026994499,0.9154792968288168,0.9815040883286045
2026-09-07,NYM,MIA,False,Jonah Tong,R,0.061538461538461535,0.25954648872144265,0.20523639553784917
2026-09-07,BOS,LAA,True,Brayan Bello,R,0.2933905415713196,1.2374128794449248,0.9625083930219079
2026-09-07,LAA,BOS,False,Grayson Rodriguez,R,0.2777196719671967,1.1713189427542976,1.1749264405364708
2026-09-07,BAL,CLE,True,Trevor Rogers,L,0.2582729262046907,1.089299755833896,1.1831459456359728
2026-09-07,CLE,BAL,False,Joey Cantillo,L,0.24817245850997238,1.0466997158090077,0.9001153610306705
2026-09-07,KC,AZ,True,Noah Cameron,L,0.22429212678845747,0.9459813017818924,1.0216134522769342
2026-09-07,AZ,KC,False,Derek Law,R,0.24999999999999997,1.0544076104308606,0.794686380028709
2026-09-07,MIL,CHC,True,Robert Gasser,L,0.2556313702701356,1.078158649110801,0.99692958834542
2026-09-07,CHC,MIL,False,Matt Boyd,L,0.24571283336747252,1.036325925932772,1.057543677016656
2026-09-07,DET,MIN,True,Troy Melton,R,0.24037013392617756,1.0137923941281874,1.1486219902840398
2026-09-07,MIN,DET,False,Joe Ryan,R,0.1365766896840343,0.5760300040411992,0.644904546559266
2026-09-07,SD,WSH,True,Nick Pivetta,R,0.06,0.2530578265034066,0.20806334313478922
2026-09-07,WSH,SD,False,Jake Irvin,R,0.2562305169182204,1.08068562825282,1.1248198549076673
2026-09-07,SF,STL,True,Logan Webb,R,0.2823379163872122,1.1907969910074743,1.0072961820788449
2026-09-07,STL,SF,False,Michael McGreevy,R,0.2853900992740064,1.2036699704645248,1.2317856779690357
2026-09-07,LAD,CIN,True,,,,,
2026-09-07,CIN,LAD,False,Chase Burns,R,0.27304583670947347,1.1516064328917237,1.161702078761609
2026-09-07,ATH,TOR,True,Jacob Lopez,L,0.21462065793934815,0.9051906203477089,0.8934188800774067
2026-09-07,TOR,ATH,False,Dylan Cease,R,0.16305515642749685,0.6877063914285887,0.661988743759385
